Table,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
Activity 1,Slaughter,Slaughter weight,Production,Exports (inc reexports),Consumption,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Closing inventory,Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Exports (inc reexports),Price,Exports (inc reexports),Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Closing cattle inventory,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production,Production
Activity 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity,Total,Total,Beef and veal,Beef and veal,Beef and veal,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Beef cows and heifers,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total beef cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total dairy cattle and calves,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Total live cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - slaughter,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Live cattle - breeding,Total live cattle,Beef and veal - boneless chilled,Beef and veal - boneless frozen,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Total cattle,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal,Beef and veal
Reporter,Australia,Australia,Australia,Australia,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,United States of America,Australia,Argentina,Australia,Brazil,Canada,China,European Union 28 (EU),India,Japan,Korea Republic of,Mexico,New Zealand,Russian Federation,United States of America,Uruguay,World,Argentina,Australia,Brazil,Canada,China,European Union 28 (EU),India,Japan,Mexico,New Zealand,Pakistan,Russian Federation,South Africa,United States of America,Uruguay,World
Location,,,,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,United States of America,China,Hong Kong,Indonesia,Japan,Korea Republic of,Malaysia,Philippines,Singapore,Taiwan,Thailand,Vietnam,Commonwealth of Independent States (CIS),European Union 28 (EU),Jordan,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,New Zealand,Papua New Guinea,World,China,Indonesia,Japan,Malaysia,Philippines,Russian Federation,Thailand,Vietnam,Israel,Saudi Arabia,World,China,Indonesia,Vietnam,World,World,Canada,United States of America,China,Hong Kong,Indonesia,Japan,Korea Republic of,Malaysia,Philippines,Singapore,Taiwan,Thailand,Vietnam,Commonwealth of Independent States (CIS),European Union 28 (EU),Jordan,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,New Zealand,Papua New Guinea,World,China,Indonesia,Japan,Malaysia,Philippines,Russian Federation,Thailand,Vietnam,Israel,Saudi Arabia,World,China,Indonesia,Russian Federation,Vietnam,World,World,Japan,Japan,Korea Republic of,Korea Republic of,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,Head/number,Quantity,Quantity,Quantity,Quantity,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Unit value,Unit value,Unit value,Unit value,Price,Unit value,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Head/number,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
Unit,'000,kg,kt,kt,kt,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,'000,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,c/kg,c/kg,c/kg,c/kg,USc/kg,c/kg,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,Million,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Frequency,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Fiscal Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Oct-Sep Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year,Calendar Year
Notes,"a,1","1, 2","1,2","a, 3","a,1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"1, 4",4,4,4,4,4,4,4,4,"1, 4",4,4,4,4,4,4,4,4,"1, 4",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"b,3",3,3,3,3,3,3,3,3,"c,3","c,3","c,d,3","c,3","c,3","c,3","c,3","c,d,3","c,3","c,3","c,3","e,3","e,3","e,3","e,3","e,3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,"g,3",3,3,3,3,3,3,3,3,"c,3","c,3","c,d,3","c,3","c,3","c,3","c,3","c,d,3","c,3","c,3","c,3",,,,,,,3,3,3,3,"i,5",3,"j,6",4,"j,6","j,6","j,k,6","j,6","j,c,6","j,6","j,6","j,6","j,6","j,6","j,6","j,6","j,6",6,2,6,6,"k,6","g,6","c,6",6,6,6,6,6,6,6,6,6
Series Start,1972,1972,1972,1972,1972,1982,1982,1982,1982,1982,1982,1982,1982,1982,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1980,1972,1985,1986,1986,1986,1985,1986,1986,1986,1986,1986,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1972,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1981,1986,1986,1986,1986,1986,1986,1985,1985,1986,1985,1985,1985,1986,1986,1986,1986,1986,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1972,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1974,1979,1979,1994,1986,1978,1986,1972,1972,1972,1972,1973,1972,1972,1972,1972,1972,1972,1986,1972,1972,1972,1972,1972,1972,1972,1973,1972,1972,1972,1972,1972,1994,1986,1972,1972,1972,1972
Series End,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2013,2003,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2013,2018,2018,2018,2018,2018
Identifier,AG351,AG5836,AG356,AB23352,AG7325,AG1265,AG1267,AG1271,AG1273,AG1275,AG1278,AG1279,AG1281,AG1283,AG1286,AG1287,AG1290,AG1292,AG1293,AG1295,AG1297,AG1303,AG342,AG1308,AG1312,AG1314,AG1315,AG1317,AG1320,AG1323,AG5216,AG343,AG5217,AG1327,AG1328,AG1329,AG5218,AG5219,AG5220,AG1337,AG1339,AB9129,AB18474,AB20684,AB20689,AB19917,AB18478,AB18480,AB20742,AB20747,AB20750,AB9130,AB23376,AB25037,AB20755,AB20753,AB23373,AB20761,AB23379,AB20764,AB20767,AB20770,AB20776,AB18473,AB26193,AB19219,AB19225,AB19228,AB19231,AB22870,AB22896,AB22614,AB19240,AB19249,AB10354,AB20672,AB20673,AB22869,AB20321,AB20675,AB20677,AB20022,AB20021,AB20690,AB20023,AB20020,AB20024,AB20743,AB20748,AB20751,AB23435,AB22899,AB24099,AB20756,AB20754,AB23400,AB20762,AB23404,AB20765,AB20768,AB20771,AB20777,AB20019,AB26192,AB19252,AB19258,AB19261,AB19264,AB22898,AB22897,AB22615,AB19273,AB19282,AB10936,AB20719,AB20720,AB20721,AB22900,AB20322,AB20333,AB15262,AB15260,AB22099,AB22100,AG4746,AB22871,AG5230,AG346,AG1345,AG1347,AG5231,AG7851,AG7284,AG1367,AG7303,AG7285,AG1369,AG1374,AG1195,AG1379,AG1184,AG1385,AG1821,AG1388,AG1390,AG1391,AG7850,AG7302,AG1416,AG1417,AG1239,AG7863,AG1421,AG1426,AG1196,AG1431,AG1435
1974,8452.40,183.02,1546.96,611.20,881.00,,,,,,,,,,8159.00,4155.00,10170.00,1618.00,2327.00,681.00,1409.00,0.00,28522.00,571.00,1897.00,474.00,204.00,159.00,220.00,0.00,0.00,3649.00,8730.00,6052.00,10644.00,1822.00,2486.00,901.00,1409.00,,32171.00,,,,,,,,,,,,,,,,,,,,,,,415.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.351,,,,,,,,,,,,,,,,,,,,,,,,57.232,32.171,92,13.481,,123.72,238.14,3.65,1.545,28.816,9.415,,127.788,10.961,942.702,2163,1279.409,2100,953,,1208,187,292,700,405,,,527,10715,320,38235
1975,10617.50,173.34,1840.42,800.20,936.00,,,,,,,,,,8368.00,3920.00,10650.00,1648.00,2435.00,679.00,1563.00,0.00,29284.00,565.00,1812.00,461.00,198.00,158.00,211.00,0.00,0.00,3528.00,8933.00,5732.00,11111.00,1846.00,2593.00,890.00,1563.00,,32812.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.8,,,,,,,,,,,,,,,,,,,,,,,,60.115,32.812,91,14.278,74.554,124.654,239.12,3.644,1.858,29.2,9.653,,132.028,11.536,1039.186,2439,1703.488,2150,1088,298,1469,604,353,1038,508,,,492,11271,345,41597
1976,11982.00,165.90,1987.78,936.80,976.00,,,,,,,,,,7591.00,3331.00,11036.00,1387.00,2259.00,611.00,1616.00,0.00,28269.00,549.00,1628.00,433.00,175.00,143.00,187.00,0.00,0.00,3265.00,8140.00,4959.00,11469.00,1562.00,2402.00,798.00,1616.00,,31534.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.2,,,,,,,,,,,,,,,,,0.609684833,,,,,,,61.469,31.534,92,14.011,73.547,122.776,240.53,3.723,1.642,29.9,9.777,,127.98,10.398,1039.18,2811,1898.97,2230,1166,324,1338,609,298,1079,628,,,537,12166,405,43549
1977,12968.00,168.40,2183.84,1115.30,955.51,,,,,,,,,,6689.00,2881.00,10856.00,1043.00,2084.00,543.00,1631.00,0.00,26268.00,493.00,1561.00,394.00,161.00,125.00,170.00,0.00,0.00,3062.00,7182.00,4442.00,11250.00,1204.00,2209.00,713.00,1631.00,,29330.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.8,,,,,,,,,,,,,,,,,0.646139909,,,,,,,61.291,29.33,91,13.362,71.693,122.192,242,3.875,1.554,30.41,9.017,,122.81,9.843,1030.944,2914,2158.242,2450,1142,315,1488,615,361,990,558,,,580,11844,363,43783
1978,11348.00,177.84,2018.11,1216.70,833.68,,,,,,,,,,5844.00,2543.00,10261.00,900.00,1913.00,483.00,1738.00,0.00,24245.00,461.00,1471.00,366.00,152.00,122.00,159.00,0.00,0.00,2867.00,6305.00,4014.00,10627.00,1052.00,2035.00,642.00,1738.00,,27112.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.8,,,,,,,,,,,,,,,,,1.280059881,,,,,,,60.625,27.112,89,12.526,70.398,122.955,245.43,4.009,1.618,31.3,8.738,,116.375,9.424,1027.284,3146,2130.801,2200,1063,310,1506,624,403,1038,562,,,629,11279,354,43541
1979,8890.00,175.98,1564.44,864.00,729.00,,,,,,,,,,5484.00,2643.00,9756.00,882.00,1888.00,479.00,1687.00,0.00,23373.00,447.00,1482.00,344.00,149.00,123.00,152.00,0.00,0.00,2830.00,5931.00,4125.00,10100.00,1031.00,2011.00,631.00,1687.00,,26203.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.5,,,,,,,,,,,,,,,,,1.828600323,,,,,,,58.173,26.203,114.2,11.996,70.724,124.556,248.98,4.12,1.787,32.15,8.418,,110.864,9.613,1050.868,3020,1769.654,2100,948,230,1720,635,402,1116,512,,,679,9924,266,41773
