Data Supplied By: National Livestock Reporting Service,,,
Data source: Australian Bureau of Statistics,,,
,,,
Please see terms of use here: https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/minlrs-information-brochures-etc/mla-market-reports-data-and-information-terms-of-use.pdf,,,
,,,
Quarterly,Category,Average Value,Units
31/03/2000 0:00,Beef,1047.104943,AUD c/kg
31/03/2000 0:00,Chicken,486.4371722,AUD c/kg
31/03/2000 0:00,Lamb,667.5931236,AUD c/kg
31/03/2000 0:00,Pork,764.9270763,AUD c/kg
30/06/2000 0:00,Beef,1072.924397,AUD c/kg
30/06/2000 0:00,Chicken,487.2444471,AUD c/kg
30/06/2000 0:00,Lamb,681.9465477,AUD c/kg
30/06/2000 0:00,Pork,746.980253,AUD c/kg
30/09/2000 0:00,Beef,1055.871714,AUD c/kg
30/09/2000 0:00,Chicken,466.3760725,AUD c/kg
30/09/2000 0:00,Lamb,670.0594218,AUD c/kg
30/09/2000 0:00,Pork,749.5776212,AUD c/kg
31/12/2000 0:00,Beef,1063.424743,AUD c/kg
31/12/2000 0:00,Chicken,471.270574,AUD c/kg
31/12/2000 0:00,Lamb,661.4309734,AUD c/kg
31/12/2000 0:00,Pork,759.9821697,AUD c/kg
31/03/2001 0:00,Beef,1113.760231,AUD c/kg
31/03/2001 0:00,Chicken,492.1834441,AUD c/kg
31/03/2001 0:00,Lamb,709.1434172,AUD c/kg
31/03/2001 0:00,Pork,788.3873842,AUD c/kg
30/06/2001 0:00,Beef,1213.432383,AUD c/kg
30/06/2001 0:00,Chicken,496.0354804,AUD c/kg
30/06/2001 0:00,Lamb,785.5396998,AUD c/kg
30/06/2001 0:00,Pork,818.2097365,AUD c/kg
30/09/2001 0:00,Beef,1252.581349,AUD c/kg
30/09/2001 0:00,Chicken,498.7814864,AUD c/kg
30/09/2001 0:00,Lamb,831.5149494,AUD c/kg
30/09/2001 0:00,Pork,856.8730476,AUD c/kg
31/12/2001 0:00,Beef,1322.529974,AUD c/kg
31/12/2001 0:00,Chicken,499.982864,AUD c/kg
31/12/2001 0:00,Lamb,852.8185886,AUD c/kg
31/12/2001 0:00,Pork,874.3180576,AUD c/kg
31/03/2002 0:00,Beef,1328.58322,AUD c/kg
31/03/2002 0:00,Chicken,518.0459053,AUD c/kg
31/03/2002 0:00,Lamb,892.0061253,AUD c/kg
31/03/2002 0:00,Pork,908.5059698,AUD c/kg
30/06/2002 0:00,Beef,1338.783288,AUD c/kg
30/06/2002 0:00,Chicken,504.0669124,AUD c/kg
30/06/2002 0:00,Lamb,933.5118386,AUD c/kg
30/06/2002 0:00,Pork,892.5039421,AUD c/kg
30/09/2002 0:00,Beef,1297.47278,AUD c/kg
30/09/2002 0:00,Chicken,497.7263082,AUD c/kg
30/09/2002 0:00,Lamb,907.1778139,AUD c/kg
30/09/2002 0:00,Pork,889.139855,AUD c/kg
31/12/2002 0:00,Beef,1315.395956,AUD c/kg
31/12/2002 0:00,Chicken,492.4482981,AUD c/kg
31/12/2002 0:00,Lamb,909.2400131,AUD c/kg
31/12/2002 0:00,Pork,876.1379383,AUD c/kg
31/03/2003 0:00,Beef,1324.999203,AUD c/kg
31/03/2003 0:00,Chicken,501.9883384,AUD c/kg
31/03/2003 0:00,Lamb,950.6709464,AUD c/kg
31/03/2003 0:00,Pork,884.446932,AUD c/kg
30/06/2003 0:00,Beef,1360.842462,AUD c/kg
30/06/2003 0:00,Chicken,501.1588157,AUD c/kg
30/06/2003 0:00,Lamb,996.1946405,AUD c/kg
30/06/2003 0:00,Pork,892.9368368,AUD c/kg
30/09/2003 0:00,Beef,1390.561351,AUD c/kg
30/09/2003 0:00,Chicken,504.1103484,AUD c/kg
30/09/2003 0:00,Lamb,1068.339974,AUD c/kg
30/09/2003 0:00,Pork,881.1054587,AUD c/kg
31/12/2003 0:00,Beef,1392.78474,AUD c/kg
31/12/2003 0:00,Chicken,528.9917905,AUD c/kg
31/12/2003 0:00,Lamb,1051.393701,AUD c/kg
31/12/2003 0:00,Pork,906.4104149,AUD c/kg
31/03/2004 0:00,Beef,1395.88326,AUD c/kg
31/03/2004 0:00,Chicken,540.8201692,AUD c/kg
31/03/2004 0:00,Lamb,1059.642498,AUD c/kg
31/03/2004 0:00,Pork,905.8030701,AUD c/kg
30/06/2004 0:00,Beef,1392.000833,AUD c/kg
30/06/2004 0:00,Chicken,532.1785136,AUD c/kg
30/06/2004 0:00,Lamb,1052.442058,AUD c/kg
30/06/2004 0:00,Pork,889.3315348,AUD c/kg
30/09/2004 0:00,Beef,1379.02694,AUD c/kg
30/09/2004 0:00,Chicken,531.824139,AUD c/kg
30/09/2004 0:00,Lamb,1103.198906,AUD c/kg
30/09/2004 0:00,Pork,847.6745738,AUD c/kg
31/12/2004 0:00,Beef,1430.211274,AUD c/kg
31/12/2004 0:00,Chicken,529.6994804,AUD c/kg
31/12/2004 0:00,Lamb,1069.913228,AUD c/kg
31/12/2004 0:00,Pork,914.4340427,AUD c/kg
31/03/2005 0:00,Beef,1473.111243,AUD c/kg
31/03/2005 0:00,Chicken,527.5891239,AUD c/kg
31/03/2005 0:00,Lamb,1083.836668,AUD c/kg
31/03/2005 0:00,Pork,918.8189859,AUD c/kg
30/06/2005 0:00,Beef,1507.388233,AUD c/kg
30/06/2005 0:00,Chicken,511.233861,AUD c/kg
30/06/2005 0:00,Lamb,1071.296656,AUD c/kg
30/06/2005 0:00,Pork,949.7860324,AUD c/kg
30/09/2005 0:00,Beef,1504.498446,AUD c/kg
30/09/2005 0:00,Chicken,501.4559819,AUD c/kg
30/09/2005 0:00,Lamb,1137.790356,AUD c/kg
30/09/2005 0:00,Pork,946.9345271,AUD c/kg
31/12/2005 0:00,Beef,1536.013982,AUD c/kg
31/12/2005 0:00,Chicken,499.1252669,AUD c/kg
31/12/2005 0:00,Lamb,1109.079194,AUD c/kg
31/12/2005 0:00,Pork,932.3550215,AUD c/kg
31/03/2006 0:00,Beef,1550.697936,AUD c/kg
31/03/2006 0:00,Chicken,492.9970755,AUD c/kg
31/03/2006 0:00,Lamb,1115.40816,AUD c/kg
31/03/2006 0:00,Pork,955.8680952,AUD c/kg
30/06/2006 0:00,Beef,1564.763423,AUD c/kg
30/06/2006 0:00,Chicken,497.1033716,AUD c/kg
30/06/2006 0:00,Lamb,1140.496812,AUD c/kg
30/06/2006 0:00,Pork,953.3762586,AUD c/kg
30/09/2006 0:00,Beef,1558.46279,AUD c/kg
30/09/2006 0:00,Chicken,485.9350091,AUD c/kg
30/09/2006 0:00,Lamb,1146.095237,AUD c/kg
30/09/2006 0:00,Pork,959.6855372,AUD c/kg
31/12/2006 0:00,Beef,1528.924803,AUD c/kg
31/12/2006 0:00,Chicken,484.2849688,AUD c/kg
31/12/2006 0:00,Lamb,1139.268697,AUD c/kg
31/12/2006 0:00,Pork,985.3813908,AUD c/kg
31/03/2007 0:00,Beef,1515.397382,AUD c/kg
31/03/2007 0:00,Chicken,494.320286,AUD c/kg
31/03/2007 0:00,Lamb,1102.50863,AUD c/kg
31/03/2007 0:00,Pork,1006.01173,AUD c/kg
30/06/2007 0:00,Beef,1544.033953,AUD c/kg
30/06/2007 0:00,Chicken,497.1828278,AUD c/kg
30/06/2007 0:00,Lamb,1130.578411,AUD c/kg
30/06/2007 0:00,Pork,978.6241416,AUD c/kg
30/09/2007 0:00,Beef,1538.443011,AUD c/kg
30/09/2007 0:00,Chicken,504.8567069,AUD c/kg
30/09/2007 0:00,Lamb,1131.457075,AUD c/kg
30/09/2007 0:00,Pork,970.0491654,AUD c/kg
31/12/2007 0:00,Beef,1530.744642,AUD c/kg
31/12/2007 0:00,Chicken,526.0137724,AUD c/kg
31/12/2007 0:00,Lamb,1131.764823,AUD c/kg
31/12/2007 0:00,Pork,979.9465164,AUD c/kg
31/03/2008 0:00,Beef,1578.157874,AUD c/kg
31/03/2008 0:00,Chicken,551.774,AUD c/kg
31/03/2008 0:00,Lamb,1156.663649,AUD c/kg
31/03/2008 0:00,Pork,1009.33382,AUD c/kg
30/06/2008 0:00,Beef,1569.165363,AUD c/kg
30/06/2008 0:00,Chicken,551.9556898,AUD c/kg
30/06/2008 0:00,Lamb,1179.336335,AUD c/kg
30/06/2008 0:00,Pork,1004.974722,AUD c/kg
30/09/2008 0:00,Beef,1570.92954,AUD c/kg
30/09/2008 0:00,Chicken,548.092,AUD c/kg
30/09/2008 0:00,Lamb,1181.579732,AUD c/kg
30/09/2008 0:00,Pork,986.6186943,AUD c/kg
31/12/2008 0:00,Beef,1594.469943,AUD c/kg
31/12/2008 0:00,Chicken,550.9889728,AUD c/kg
31/12/2008 0:00,Lamb,1212.831972,AUD c/kg
31/12/2008 0:00,Pork,1036.703103,AUD c/kg
31/03/2009 0:00,Beef,1625.98084,AUD c/kg
31/03/2009 0:00,Chicken,553.6507553,AUD c/kg
31/03/2009 0:00,Lamb,1287.459423,AUD c/kg
31/03/2009 0:00,Pork,1090.933393,AUD c/kg
30/06/2009 0:00,Beef,1618.435541,AUD c/kg
30/06/2009 0:00,Chicken,541.3668278,AUD c/kg
30/06/2009 0:00,Lamb,1298.660587,AUD c/kg
30/06/2009 0:00,Pork,1083.215591,AUD c/kg
30/09/2009 0:00,Beef,1602.649169,AUD c/kg
30/09/2009 0:00,Chicken,550.0233152,AUD c/kg
30/09/2009 0:00,Lamb,1294.685748,AUD c/kg
30/09/2009 0:00,Pork,1068.147195,AUD c/kg
31/12/2009 0:00,Beef,1603.375868,AUD c/kg
31/12/2009 0:00,Chicken,549.836858,AUD c/kg
31/12/2009 0:00,Lamb,1268.381923,AUD c/kg
31/12/2009 0:00,Pork,1032.985808,AUD c/kg
31/03/2010 0:00,Beef,1612.996123,AUD c/kg
31/03/2010 0:00,Chicken,540.4896314,AUD c/kg
31/03/2010 0:00,Lamb,1311.506909,AUD c/kg
31/03/2010 0:00,Pork,1080.205789,AUD c/kg
30/06/2010 0:00,Beef,1607.814916,AUD c/kg
30/06/2010 0:00,Chicken,545.1648338,AUD c/kg
30/06/2010 0:00,Lamb,1343.000745,AUD c/kg
30/06/2010 0:00,Pork,1064.961865,AUD c/kg
30/09/2010 0:00,Beef,1624.094515,AUD c/kg
30/09/2010 0:00,Chicken,543.9793474,AUD c/kg
30/09/2010 0:00,Lamb,1360.622913,AUD c/kg
30/09/2010 0:00,Pork,1066.0721,AUD c/kg
31/12/2010 0:00,Beef,1563.407434,AUD c/kg
31/12/2010 0:00,Chicken,553.2582417,AUD c/kg
31/12/2010 0:00,Lamb,1374.022894,AUD c/kg
31/12/2010 0:00,Pork,1094.868212,AUD c/kg
31/03/2011 0:00,Beef,1553.796456,AUD c/kg
31/03/2011 0:00,Chicken,554.6741511,AUD c/kg
31/03/2011 0:00,Lamb,1464.00323,AUD c/kg
31/03/2011 0:00,Pork,1105.015393,AUD c/kg
30/06/2011 0:00,Beef,1557.0063,AUD c/kg
30/06/2011 0:00,Chicken,558.4864592,AUD c/kg
30/06/2011 0:00,Lamb,1499.09513,AUD c/kg
30/06/2011 0:00,Pork,1098.221531,AUD c/kg
30/09/2011 0:00,Beef,1538.306948,AUD c/kg
30/09/2011 0:00,Chicken,550.4958147,AUD c/kg
30/09/2011 0:00,Lamb,1456.516613,AUD c/kg
30/09/2011 0:00,Pork,1092.897572,AUD c/kg
31/12/2011 0:00,Beef,1533.821516,AUD c/kg
31/12/2011 0:00,Chicken,533.3052024,AUD c/kg
31/12/2011 0:00,Lamb,1429.09109,AUD c/kg
31/12/2011 0:00,Pork,1067.866136,AUD c/kg
31/03/2012 0:00,Beef,1552.203903,AUD c/kg
31/03/2012 0:00,Chicken,516.3466022,AUD c/kg
31/03/2012 0:00,Lamb,1439.452418,AUD c/kg
31/03/2012 0:00,Pork,1082.12474,AUD c/kg
30/06/2012 0:00,Beef,1558.561745,AUD c/kg
30/06/2012 0:00,Chicken,518.5311178,AUD c/kg
30/06/2012 0:00,Lamb,1426.557202,AUD c/kg
30/06/2012 0:00,Pork,1064.920945,AUD c/kg
30/09/2012 0:00,Beef,1564.771154,AUD c/kg
30/09/2012 0:00,Chicken,526.881434,AUD c/kg
30/09/2012 0:00,Lamb,1393.759032,AUD c/kg
30/09/2012 0:00,Pork,1068.202114,AUD c/kg
31/12/2012 0:00,Beef,1558.46279,AUD c/kg
31/12/2012 0:00,Chicken,558.6829809,AUD c/kg
31/12/2012 0:00,Lamb,1252.751489,AUD c/kg
31/12/2012 0:00,Pork,1075.715314,AUD c/kg
31/03/2013 0:00,Beef,1556.978469,AUD c/kg
31/03/2013 0:00,Chicken,559.4007351,AUD c/kg
31/03/2013 0:00,Lamb,1265.088732,AUD c/kg
31/03/2013 0:00,Pork,1084.381823,AUD c/kg
30/06/2013 0:00,Beef,1549.205884,AUD c/kg
30/06/2013 0:00,Chicken,557.6934864,AUD c/kg
30/06/2013 0:00,Lamb,1249.054199,AUD c/kg
30/06/2013 0:00,Pork,1084.390438,AUD c/kg
30/09/2013 0:00,Beef,1508.97924,AUD c/kg
30/09/2013 0:00,Chicken,551.0890876,AUD c/kg
30/09/2013 0:00,Lamb,1245.937891,AUD c/kg
30/09/2013 0:00,Pork,1085.474828,AUD c/kg
31/12/2013 0:00,Beef,1513.58682,AUD c/kg
31/12/2013 0:00,Chicken,558.0617,AUD c/kg
31/12/2013 0:00,Lamb,1234.1914,AUD c/kg
31/12/2013 0:00,Pork,1077.869019,AUD c/kg
31/03/2014 0:00,Beef,1548.554615,AUD c/kg
31/03/2014 0:00,Chicken,558.9156,AUD c/kg
31/03/2014 0:00,Lamb,1246.239,AUD c/kg
31/03/2014 0:00,Pork,1112.423061,AUD c/kg
30/06/2014 0:00,Beef,1598.838281,AUD c/kg
30/06/2014 0:00,Chicken,555.4888419,AUD c/kg
30/06/2014 0:00,Lamb,1350.29181,AUD c/kg
30/06/2014 0:00,Pork,1121.287711,AUD c/kg
30/09/2014 0:00,Beef,1632.31085,AUD c/kg
30/09/2014 0:00,Chicken,556.7749728,AUD c/kg
30/09/2014 0:00,Lamb,1320.640241,AUD c/kg
30/09/2014 0:00,Pork,1119.882418,AUD c/kg
31/12/2014 0:00,Beef,1658.877103,AUD c/kg
31/12/2014 0:00,Chicken,558.9499537,AUD c/kg
31/12/2014 0:00,Lamb,1271.302929,AUD c/kg
31/12/2014 0:00,Pork,1138.965321,AUD c/kg
31/03/2015 0:00,Beef,1693.8777,AUD c/kg
31/03/2015 0:00,Chicken,560.4764,AUD c/kg
31/03/2015 0:00,Lamb,1328.5085,AUD c/kg
31/03/2015 0:00,Pork,1170.071281,AUD c/kg
30/06/2015 0:00,Beef,1726.914665,AUD c/kg
30/06/2015 0:00,Chicken,558.7188,AUD c/kg
30/06/2015 0:00,Lamb,1360.6912,AUD c/kg
30/06/2015 0:00,Pork,1172.879712,AUD c/kg
30/09/2015 0:00,Beef,1777.113688,AUD c/kg
30/09/2015 0:00,Chicken,548.1935558,AUD c/kg
30/09/2015 0:00,Lamb,1371.3216,AUD c/kg
30/09/2015 0:00,Pork,1177.383109,AUD c/kg
31/12/2015 0:00,Beef,1851.119312,AUD c/kg
31/12/2015 0:00,Chicken,538.8976957,AUD c/kg
31/12/2015 0:00,Lamb,1424.076686,AUD c/kg
31/12/2015 0:00,Pork,1193.477746,AUD c/kg
31/03/2016 0:00,Beef,1915.591895,AUD c/kg
31/03/2016 0:00,Chicken,544.0700076,AUD c/kg
31/03/2016 0:00,Lamb,1429.409143,AUD c/kg
31/03/2016 0:00,Pork,1209.856673,AUD c/kg
30/06/2016 0:00,Beef,1915.754247,AUD c/kg
30/06/2016 0:00,Chicken,531.4684231,AUD c/kg
30/06/2016 0:00,Lamb,1440.9024,AUD c/kg
30/06/2016 0:00,Pork,1198.421576,AUD c/kg
30/09/2016 0:00,Beef,1934.893168,AUD c/kg
30/09/2016 0:00,Chicken,529.6738718,AUD c/kg
30/09/2016 0:00,Lamb,1482.7596,AUD c/kg
30/09/2016 0:00,Pork,1185.352895,AUD c/kg
31/12/2016 0:00,Beef,1938.073371,AUD c/kg
31/12/2016 0:00,Chicken,532.3270321,AUD c/kg
31/12/2016 0:00,Lamb,1458.953371,AUD c/kg
31/12/2016 0:00,Pork,1204.584403,AUD c/kg
31/03/2017 0:00,Beef,1919.454909,AUD c/kg
31/03/2017 0:00,Chicken,537.6503025,AUD c/kg
31/03/2017 0:00,Lamb,1449.4792,AUD c/kg
31/03/2017 0:00,Pork,1201.38292,AUD c/kg
30/06/2017 0:00,Beef,1926.050687,AUD c/kg
30/06/2017 0:00,Chicken,531.7099565,AUD c/kg
30/06/2017 0:00,Lamb,1501.7856,AUD c/kg
30/06/2017 0:00,Pork,1165.714336,AUD c/kg
30/09/2017 0:00,Beef,1928.4008,AUD c/kg
30/09/2017 0:00,Chicken,531.2655561,AUD c/kg
30/09/2017 0:00,Lamb,1495.365943,AUD c/kg
30/09/2017 0:00,Pork,1172.062381,AUD c/kg
31/12/2017 0:00,Beef,1931.876493,AUD c/kg
31/12/2017 0:00,Chicken,538.1741546,AUD c/kg
31/12/2017 0:00,Lamb,1501.601524,AUD c/kg
31/12/2017 0:00,Pork,1177.473565,AUD c/kg
31/03/2018 0:00,Beef,1951.985422,AUD c/kg
31/03/2018 0:00,Chicken,540.8442647,AUD c/kg
31/03/2018 0:00,Lamb,1501.371429,AUD c/kg
31/03/2018 0:00,Pork,1182.884749,AUD c/kg
30/06/2018 0:00,Beef,1918.041748,AUD c/kg
30/06/2018 0:00,Chicken,539.1794847,AUD c/kg
30/06/2018 0:00,Lamb,1532.900229,AUD c/kg
30/06/2018 0:00,Pork,1170.560172,AUD c/kg
30/09/2018 0:00,Beef,1930.617946,AUD c/kg
30/09/2018 0:00,Chicken,541.3697059,AUD c/kg
30/09/2018 0:00,Lamb,1563.669714,AUD c/kg
30/09/2018 0:00,Pork,1160.003787,AUD c/kg
31/12/2018 0:00,Beef,1967.7909,AUD c/kg
31/12/2018 0:00,Chicken,546.713,AUD c/kg
31/12/2018 0:00,Lamb,1669.4976,AUD c/kg
31/12/2018 0:00,Pork,1170.2382,AUD c/kg
31/03/2019 0:00,Beef,2025.284803,AUD c/kg
31/03/2019 0:00,Chicken,562.4477753,AUD c/kg
31/03/2019 0:00,Lamb,1731.39428,AUD c/kg
31/03/2019 0:00,Pork,1179.933353,AUD c/kg
30/06/2019 0:00,Beef,2033.514783,AUD c/kg
30/06/2019 0:00,Chicken,561.3609382,AUD c/kg
30/06/2019 0:00,Lamb,1740.113398,AUD c/kg
30/06/2019 0:00,Pork,1183.801506,AUD c/kg
30/09/2019 0:00,Beef,2067.707158,AUD c/kg
30/09/2019 0:00,Chicken,569.2865871,AUD c/kg
30/09/2019 0:00,Lamb,1785.326837,AUD c/kg
30/09/2019 0:00,Pork,1205.977701,AUD c/kg
31/12/2019 0:00,Beef,2128.696831,AUD c/kg
31/12/2019 0:00,Chicken,564.2469887,AUD c/kg
31/12/2019 0:00,Lamb,1768.24237,AUD c/kg
31/12/2019 0:00,Pork,1262.792825,AUD c/kg
31/03/2020 0:00,Beef,2203.518066,AUD c/kg
31/03/2020 0:00,Chicken,569.1515269,AUD c/kg
31/03/2020 0:00,Lamb,1818.374064,AUD c/kg
31/03/2020 0:00,Pork,1280.865028,AUD c/kg
30/06/2020 0:00,Beef,2178.981191,AUD c/kg
30/06/2020 0:00,Chicken,561.9695034,AUD c/kg
30/06/2020 0:00,Lamb,1822.817752,AUD c/kg
30/06/2020 0:00,Pork,1297.055923,AUD c/kg
30/09/2020 0:00,Beef,2235.119149,AUD c/kg
30/09/2020 0:00,Chicken,570.9475624,AUD c/kg
30/09/2020 0:00,Lamb,1841.728589,AUD c/kg
30/09/2020 0:00,Pork,1299.156916,AUD c/kg
31/12/2020 0:00,Beef,2302.755579,AUD c/kg
31/12/2020 0:00,Chicken,564.1087507,AUD c/kg
31/12/2020 0:00,Lamb,1794.291868,AUD c/kg
31/12/2020 0:00,Pork,1303.693812,AUD c/kg
31/03/2021 0:00,Beef,2387.348272,AUD c/kg
31/03/2021 0:00,Chicken,568.0233772,AUD c/kg
31/03/2021 0:00,Lamb,1848.57388,AUD c/kg
31/03/2021 0:00,Pork,1305.406052,AUD c/kg
30/06/2021 0:00,Beef,2473.143845,AUD c/kg
30/06/2021 0:00,Chicken,564.9434755,AUD c/kg
30/06/2021 0:00,Lamb,1856.776726,AUD c/kg
30/06/2021 0:00,Pork,1290.821863,AUD c/kg
30/09/2021 0:00,Beef,2479.657635,AUD c/kg
30/09/2021 0:00,Chicken,569.0900878,AUD c/kg
30/09/2021 0:00,Lamb,1860.28278,AUD c/kg
30/09/2021 0:00,Pork,1295.052925,AUD c/kg
31/12/2021 0:00,Beef,2487.411412,AUD c/kg
31/12/2021 0:00,Chicken,559.1713744,AUD c/kg
31/12/2021 0:00,Lamb,1853.867477,AUD c/kg
31/12/2021 0:00,Pork,1312.531768,AUD c/kg
31/03/2022 0:00,Beef,2676.76744,AUD c/kg
31/03/2022 0:00,Chicken,588.9513487,AUD c/kg
31/03/2022 0:00,Lamb,1983.452011,AUD c/kg
31/03/2022 0:00,Pork,1348.16035,AUD c/kg
30/06/2022 0:00,Beef,2706.211882,AUD c/kg
30/06/2022 0:00,Chicken,598.3745703,AUD c/kg
30/06/2022 0:00,Lamb,2122.293652,AUD c/kg
30/06/2022 0:00,Pork,1341.419549,AUD c/kg
30/09/2022 0:00,Beef,2711.624305,AUD c/kg
30/09/2022 0:00,Chicken,617.5225566,AUD c/kg
30/09/2022 0:00,Lamb,2092.581541,AUD c/kg
30/09/2022 0:00,Pork,1344.102388,AUD c/kg
31/12/2022 0:00,Beef,2703.489433,AUD c/kg
31/12/2022 0:00,Chicken,624.3153047,AUD c/kg
31/12/2022 0:00,Lamb,2040.267002,AUD c/kg
31/12/2022 0:00,Pork,1375.016743,AUD c/kg
31/03/2023 0:00,Beef,2698.082454,AUD c/kg
31/03/2023 0:00,Chicken,631.8070883,AUD c/kg
31/03/2023 0:00,Lamb,2064.750206,AUD c/kg
31/03/2023 0:00,Pork,1401.142061,AUD c/kg
